x;y;z;time
4,85; -7,62; -0,67; 747205027
3,71; -6,96; -1,93; 747205052
3,20; -6,55; -2,53; 747205068
2,75; -5,72; -2,36; 747205095
2,83; -5,47; -1,90; 747205108
2,83; -4,85; -1,03; 747205138
2,80; -4,62; -0,83; 747205148
2,20; -4,32; -0,99; 747205176
2,04; -4,36; -1,04; 747205188
1,94; -4,58; -1,03; 747205210
2,21; -4,93; -0,80; 747205228
3,37; -5,68; -0,61; 747205252
4,25; -6,15; -0,56; 747205268
5,68; -6,87; -0,76; 747205294
6,57; -7,26; -0,91; 747205308
8,19; -7,96; -1,26; 747205335
8,87; -8,09; -1,29; 747205349
10,13; -8,30; -1,18; 747205377
10,80; -8,56; -1,21; 747205388
12,44; -8,89; -1,86; 747205411
13,77; -9,23; -2,95; 747205427
15,06; -10,22; -4,53; 747205452
15,10; -10,59; -4,41; 747205468
14,95; -10,42; -2,54; 747205494
14,99; -9,84; -1,57; 747205507
15,69; -8,14; -0,83; 747205537
16,02; -7,60; -1,24; 747205549
16,19; -7,26; -2,28; 747205576
16,21; -7,12; -2,16; 747205587
16,82; -6,65; -1,48; 747205610
17,11; -5,62; -1,41; 747205628
16,43; -3,39; -1,40; 747205651
16,02; -2,27; -1,66; 747205668
14,92; -1,30; -1,74; 747205695
14,29; -0,98; -1,33; 747205707
13,30; -0,09; -0,36; 747205737
13,07; 0,21; -0,33; 747205747
12,88; 0,64; -1,28; 747205776
13,07; 0,68; -1,74; 747205788
13,67; 0,38; -2,28; 747205810
13,95; -0,20; -2,41; 747205828
14,12; -1,27; -1,75; 747205852
14,03; -1,92; -0,94; 747205868
13,79; -2,97; -0,06; 747205894
13,71; -3,47; 0,07; 747205907
13,54; -4,21; -0,29; 747205936
13,79; -4,66; -0,68; 747205949
14,91; -6,55; -1,40; 747205978
15,42; -7,42; -1,53; 747205989
16,55; -8,83; -1,95; 747206010
17,41; -9,54; -2,51; 747206028
17,26; -10,35; -2,89; 747206054
16,36; -10,16; -2,54; 747206069
15,19; -10,07; -2,15; 747206095
14,78; -10,11; -2,15; 747206107
13,81; -10,17; -1,92; 747206135
13,28; -10,03; -1,86; 747206148
12,09; -9,58; -1,61; 747206178
11,65; -9,50; -1,67; 747206187
10,83; -9,23; -1,82; 747206210
10,04; -9,10; -1,52; 747206229
8,39; -8,49; -1,04; 747206254
7,03; -7,81; -0,90; 747206270
4,71; -6,48; -1,13; 747206295
3,77; -5,93; -1,34; 747206309
2,67; -5,12; -1,60; 747206338
2,41; -4,81; -1,51; 747206349
2,32; -4,41; -1,09; 747206376
2,45; -4,43; -0,86; 747206389
2,53; -4,60; -0,46; 747206410
2,43; -4,80; -0,28; 747206427
2,24; -5,13; -0,46; 747206452
2,20; -5,33; -0,59; 747206468
2,55; -5,73; -0,73; 747206495
2,79; -5,93; -0,70; 747206507
3,81; -6,12; -0,31; 747206536
4,19; -6,10; -0,01; 747206549
6,02; -7,03; -0,63; 747206578
7,01; -7,47; -1,30; 747206589
8,87; -8,14; -2,70; 747206609
9,93; -8,74; -3,17; 747206628
10,96; -9,60; -2,68; 747206652
12,10; -9,96; -2,48; 747206668
14,38; -10,00; -2,85; 747206695
14,96; -10,19; -2,89; 747206707
16,12; -9,25; -2,42; 747206737
17,66; -8,12; -3,38; 747206748
21,39; -4,26; -5,12; 747206777
22,26; -3,11; -4,71; 747206788
23,81; -1,35; -2,27; 747206811
22,62; -2,05; -0,91; 747206827
18,36; -2,06; 0,64; 747206852
16,48; -2,10; 0,49; 747206869
13,64; -2,13; -0,64; 747206894
12,39; -2,02; -1,24; 747206907
10,61; -1,53; -2,07; 747206935
10,17; -1,38; -2,11; 747206948
10,49; -1,64; -1,66; 747206977
10,75; -1,75; -1,45; 747206988
11,23; -1,92; -1,11; 747207010
11,76; -2,18; -1,02; 747207029
12,56; -2,59; -1,02; 747207052
12,98; -2,96; -1,17; 747207067
13,02; -3,52; -1,36; 747207094
12,75; -3,78; -1,20; 747207107
12,45; -4,76; -0,84; 747207138
12,62; -5,53; -0,83; 747207148
13,34; -7,89; -1,10; 747207178
12,57; -8,77; -1,45; 747207187
10,00; -11,15; -1,87; 747207209
7,14; -11,28; -2,74; 747207228
4,32; -9,08; -3,94; 747207252
3,86; -7,72; -3,55; 747207269
6,08; -7,10; -0,31; 747207295
7,49; -6,91; 1,37; 747207308
8,69; -7,33; 2,15; 747207337
8,40; -6,83; 1,14; 747207349
7,29; -4,86; -0,03; 747207377
7,86; -4,41; 0,49; 747207389
9,83; -4,03; 3,58; 747207410
9,66; -3,80; 6,26; 747207430
8,55; -3,37; 7,88; 747207452
7,82; -3,41; 7,85; 747207468
5,94; -2,93; 7,83; 747207496
5,31; -2,55; 8,10; 747207507
4,07; -1,86; 8,35; 747207537
3,65; -1,61; 7,89; 747207548
2,90; -1,47; 7,40; 747207577
2,93; -1,36; 7,25; 747207587
3,31; -1,14; 7,24; 747207610
3,20; -1,19; 7,16; 747207629
2,66; -1,37; 7,67; 747207652
2,51; -1,50; 8,28; 747207669
2,70; -1,52; 8,59; 747207695
2,76; -1,35; 8,68; 747207709
3,36; -1,15; 8,46; 747207736
3,53; -1,08; 8,34; 747207750
3,83; -0,89; 8,49; 747207779
3,85; -0,87; 8,65; 747207788
3,90; -0,87; 8,77; 747207813
4,03; -0,78; 8,83; 747207827
4,03; -0,49; 8,50; 747207852
3,90; -0,51; 8,60; 747207868
3,71; -0,61; 8,90; 747207894
3,69; -0,60; 8,90; 747207907
3,63; -0,51; 8,81; 747207936
3,72; -0,49; 8,90; 747207950
4,01; -0,45; 8,95; 747207979
4,05; -0,42; 8,86; 747207989
4,14; -0,31; 8,79; 747208010
4,06; -0,29; 8,95; 747208035
3,93; -0,33; 9,37; 747208052
3,91; -0,39; 9,68; 747208068
4,10; -0,30; 9,73; 747208094
4,33; -0,26; 9,39; 747208106
4,47; -0,04; 9,00; 747208136
4,78; 0,03; 9,04; 747208149
5,23; 0,23; 7,31; 747208181
5,34; 0,23; 7,24; 747208188
4,72; -0,10; 8,92; 747208210
4,64; -0,09; 8,99; 747208228
