x;y;z;time
9,82; 0,53; -2,52; 2716609362
9,97; 0,77; -2,38; 2716609381
9,72; 0,86; -2,02; 2716609404
9,30; 0,95; -1,71; 2716609421
9,01; 1,11; -1,46; 2716609439
9,08; 1,21; -1,46; 2716609459
9,11; 1,10; -1,51; 2716609478
9,22; 1,01; -1,69; 2716609496
9,29; 1,09; -1,86; 2716609516
9,15; 0,97; -1,83; 2716609535
8,84; 0,63; -1,70; 2716609556
8,26; 0,63; -1,54; 2716609576
8,17; 0,83; -1,54; 2716609594
8,78; 0,80; -1,50; 2716609614
9,65; 0,55; -1,07; 2716609632
10,48; -0,06; -0,63; 2716609653
11,27; -0,66; -0,67; 2716609672
11,61; -1,10; -2,25; 2716609690
12,31; 0,87; -2,28; 2716609711
12,91; 1,83; -3,78; 2716609731
12,37; 0,63; -4,27; 2716609749
10,57; -0,44; -3,82; 2716609769
8,70; -0,35; -4,37; 2716609788
7,26; 0,50; -4,45; 2716609808
5,93; 1,45; -3,36; 2716609828
5,83; 2,43; -2,53; 2716609846
7,53; 3,37; -2,03; 2716609865
10,10; 3,74; -2,31; 2716609888
12,09; 3,65; -2,70; 2716609907
11,91; 2,82; -2,73; 2716609925
10,20; 2,28; -2,19; 2716609943
8,94; 2,01; -2,37; 2716609964
8,58; 1,45; -2,55; 2716609983
8,69; 0,93; -2,53; 2716610002
8,87; 0,49; -2,64; 2716610021
9,04; -0,06; -2,81; 2716610042
9,15; -0,24; -2,56; 2716610060
9,26; -0,03; -2,31; 2716610080
9,24; 0,36; -2,13; 2716610100
9,64; 0,80; -2,33; 2716610122
10,15; 1,01; -2,33; 2716610139
10,38; 1,05; -2,18; 2716610156
10,13; 1,10; -1,80; 2716610178
9,34; 1,15; -1,64; 2716610196
8,56; 1,43; -1,62; 2716610216
7,90; 1,63; -1,89; 2716610239
7,70; 1,47; -2,04; 2716610254
8,29; 1,03; -1,92; 2716610273
9,60; 0,80; -1,38; 2716610293
10,65; 1,18; -0,56; 2716610313
10,93; 1,78; 0,40; 2716610332
11,00; 2,39; -1,57; 2716610350
14,59; 0,55; -4,05; 2716610371
15,38; -1,83; -4,67; 2716610390
11,88; -2,10; -3,82; 2716610408
9,22; -0,56; -3,63; 2716610429
7,90; 0,30; -3,29; 2716610448
7,24; 0,86; -3,13; 2716610471
7,20; 1,45; -3,70; 2716610487
7,80; 1,32; -4,33; 2716610507
8,43; 0,71; -5,05; 2716610524
8,92; 0,15; -4,85; 2716610544
9,09; -0,23; -4,11; 2716610565
8,99; -0,57; -3,15; 2716610585
9,04; -0,52; -2,65; 2716610606
9,10; -0,59; -2,73; 2716610623
9,09; -0,98; -2,85; 2716610641
9,13; -1,11; -2,73; 2716610662
9,28; -0,78; -3,06; 2716610681
9,25; -0,14; -3,12; 2716610701
9,15; 0,36; -3,10; 2716610723
8,94; 0,57; -2,80; 2716610739
8,90; 0,71; -2,45; 2716610759
8,91; 0,80; -2,04; 2716610778
9,12; 0,86; -1,67; 2716610796
9,29; 0,91; -1,49; 2716610816
9,39; 0,95; -1,46; 2716610839
9,43; 0,98; -1,67; 2716610856
9,58; 0,86; -1,88; 2716610874
9,81; 0,60; -2,07; 2716610894
9,84; 0,08; -2,48; 2716610912
9,64; -0,24; -2,62; 2716610932
9,06; 0,38; -2,43; 2716610954
8,80; 1,08; -1,63; 2716610970
9,55; 1,05; -0,96; 2716610989
11,02; 0,11; -0,45; 2716611008
12,12; -1,05; -0,23; 2716611029
12,14; -1,80; -0,37; 2716611049
11,33; -1,43; -1,71; 2716611067
11,40; 1,62; -1,74; 2716611091
11,73; 4,11; -3,32; 2716611106
11,48; 4,61; -4,51; 2716611126
9,68; 2,96; -4,01; 2716611147
7,83; 0,73; -4,05; 2716611165
6,61; -0,53; -4,59; 2716611185
5,33; -0,82; -4,53; 2716611208
5,02; -0,23; -3,87; 2716611225
6,54; 0,75; -2,94; 2716611245
9,97; 1,95; -3,05; 2716611263
13,40; 2,52; -3,97; 2716611283
13,76; 1,94; -3,70; 2716611301
10,82; 1,40; -3,17; 2716611324
8,30; 1,26; -2,90; 2716611341
7,58; 1,32; -2,92; 2716611359
7,98; 1,32; -2,84; 2716611380
8,43; 1,31; -2,89; 2716611400
8,77; 1,02; -3,07; 2716611418
9,17; 0,39; -2,89; 2716611438
